file_name,caption,ranked_adapters
COCO_val2014_000000007355.jpg,A white tour bus on a street in a city.,"{'tour bus': [245675], 'white': [], 'street': [], 'city': []}"
COCO_val2014_000000538132.jpg,A small dog eating a treat next to a couple of knitted hats.,"{'small dog': [25894], 'eating': [], 'treat': [], 'knitted hats': [268940]}"
COCO_val2014_000000307511.jpg,Old fashioned car that has two surfboards on it,"{'old fashioned car': [68054], 'surfboards': [67395]}"
COCO_val2014_000000479808.jpg,Two young men wearing glasses holding a white frisbee.,"{'young men': [206780], 'glasses': [286799], 'holding a white frisbee': [153505]}"
COCO_val2014_000000024921.jpg,A small white boat floating on top of a river.,"{'small boat': [185965, 69024, 70296], 'white': [], 'river': [146092], 'floating': [92514]}"
COCO_val2014_000000318721.jpg,A large polar bear swimming in an exhibit at a zoo.,"{'polar bear swimming in a zoo exhibit': [199871, 224794]}"
COCO_val2014_000000421307.jpg,Two airplane shaped kites flying through a blue sky.,"{'airplane-shaped kites': [245502], 'blue sky': [28581]}"
COCO_val2014_000000046975.jpg,Boy holding skinny horse near jeep with tow hook.,{}
COCO_val2014_000000151441.jpg,A group of young boys standing next to each other.,{'boys': [209765]}
COCO_val2014_000000408930.jpg,A street between two buildings with a clock tower in the background.,"{'street': [299075], 'buildings': [241129], 'clock tower': [205329]}"
COCO_val2014_000000062399.jpg,A man wearing a baseball hat talks on his cellphone.,"{'man': [], 'baseball hat': [93961], 'talking on phone': [176948]}"
COCO_val2014_000000121087.jpg,"A plate contains a meal of meat, potatoes, eggs and fruit. ","{'meat': [282891], 'potatoes': [8495], 'eggs': [255828], 'fruit': [351557], 'plate': [55400]}"
COCO_val2014_000000399400.jpg,a photo showing a plane that is near the ground,{'airplane near the ground': [97332]}
COCO_val2014_000000035567.jpg,a woman and a little girl with baked goods on a pan,"{'woman and little girl': [128415], 'baked goods': [129868], 'pan': [55400]}"
COCO_val2014_000000118956.jpg,a yellow and white fire hydrant sitting close to some tracks ,"{'fire hydrant': [], 'tracks': [216624], 'sitting': [], 'close': []}"
COCO_val2014_000000575088.jpg,A man dressed as Forest Gump on a park bench. ,"{'park bench': [84470], 'man': [], 'Forest Gump': []}"
COCO_val2014_000000201637.jpg,A young Asian girl has an umbrella to protect her from the rain.,"{'young Asian girl': [26914, 248675], 'umbrella in rain': [55253, 346741]}"
COCO_val2014_000000207925.jpg,a living room with couches and chairs and a fire place,"{'living room with couches, chairs, and a fireplace': [69266]}"
COCO_val2014_000000316332.jpg,There is a street corner with street signs on it.,"{'street corner': [], 'street signs': [139546]}"
COCO_val2014_000000195918.jpg,A couple of computer monitors sitting on top of a desk.,"{'computer monitors': [126015], 'desk': [288759]}"
COCO_val2014_000000381527.jpg,a man that is jumping his skateboard on some track,"{'man': [], 'jumping': [147583], 'skateboard': [228422], 'track': []}"
COCO_val2014_000000539478.jpg,Pair of giraffes in an open field grazing and watching. ,"{'giraffes': [121496], 'open field': [], 'grazing': [], 'watching': []}"
COCO_val2014_000000252074.jpg,An unmade daybed in a room with art on the walls.,"{'daybed': [267628], 'unmade': [311209], 'art': [], 'walls': []}"
COCO_val2014_000000241037.jpg,A zebra standing next to two giraffe near a wire fence.,"{'zebra': [95133], 'giraffe': [], 'wire fence': [117327], 'standing': [], 'near': []}"
COCO_val2014_000000120792.jpg,two men in a basement watching television in what looks like a man cave.,{}
COCO_val2014_000000185475.jpg,A bus sitting beside a sign that says tow zone.,"{'bus': [113859], 'sign': [139546]}"
COCO_val2014_000000579462.jpg,A woman reaching into a open suitcase on a bed.,{'woman reaching into open suitcase on bed': [220934]}
COCO_val2014_000000288435.jpg,A LARGE WELL LIT CLOCK TOWER BY A BUSY CITY STREET,"{'clock tower': [330759], 'city street': [299075]}"
COCO_val2014_000000574665.jpg,A cement truck sitting next to a wooden fence.,"{'cement truck': [204335], 'wooden fence': []}"
COCO_val2014_000000442614.jpg,Pair of giraffes walking an a sandy park enclosure.,"{'giraffes': [121496], 'sandy park enclosure': [56358]}"
COCO_val2014_000000052952.jpg,A bus heading to Mission Ferry Plaza waiting for passengers.,"{'bus': [245675], 'Mission Ferry Plaza': [159725], 'waiting for passengers': []}"
COCO_val2014_000000126638.jpg,Three giraffes reaching for leaves on a tall tree.,"{'giraffes reaching': [120604], 'leaves on tall tree': [347320, 97857], 'three': []}"
COCO_val2014_000000267903.jpg,An old rusted bathroom with wooden walls and floor,"{'bathroom': [66299], 'rusted': [146450], 'wooden': [190334]}"
COCO_val2014_000000004187.jpg,A tennis player prepares to hit the tennis ball,"{'tennis player': [], 'tennis ball': [], 'prepares to hit': [81597]}"
COCO_val2014_000000261981.jpg,A black cat with a tie around its neck.,"{'black cat': [107164], 'tie': [240937]}"
COCO_val2014_000000096402.jpg,a white living room with blue furniture and decorations ,"{'white living room': [220636], 'blue furniture and decorations': [93654]}"
COCO_val2014_000000226588.jpg,a person riding skis on a snowy slope,"{'riding skis on a snowy slope': [228790, 82397]}"
COCO_val2014_000000013659.jpg,A man sitting in front of a laptop computer in an office.,"{'man sitting': [51900], 'laptop computer': [161370], 'office': [185454]}"
COCO_val2014_000000392928.jpg,A picture of a toilet with the door cracked open,"{'toilet': [253828], 'door cracked open': [148384]}"
COCO_val2014_000000289899.jpg,A group of people on a canal boat.,"{'group': [140648], 'canal boat': [146092]}"
COCO_val2014_000000025997.jpg,A young boy stands on a fake surf board,"{'young boy': [44173], 'surf board': [228422], 'fake': [104571], 'stands': [123674]}"
COCO_val2014_000000205601.jpg,A chef getting ready to stir up some stir fry in the pan.,"{'chef': [], 'stir fry': [21079], 'pan': []}"
COCO_val2014_000000514787.jpg,Many shots of people playing Nintendo wiki in household,"{'Nintendo': [26555], 'household': [343735]}"
COCO_val2014_000000396580.jpg,A canoe in the water near grass and a house.,"{'canoe': [], 'water': [107134], 'grass': [350600], 'house': [174921]}"
COCO_val2014_000000127788.jpg,A line of bicycle racks all have bicycles attached.,"{'bicycle': [46770], 'rack': []}"
COCO_val2014_000000178941.jpg, A cat on top of a closed laptop on a desk. ,"{'cat': [106270], 'laptop': [], 'desk': []}"
